DATE,CPIAUCSL
2/1/11,221.898
3/1/11,223.046
4/1/11,224.093
5/1/11,224.806
6/1/11,224.806
7/1/11,225.395
8/1/11,226.106
9/1/11,226.597
10/1/11,226.75
11/1/11,227.169
12/1/11,227.223
1/1/12,227.842
2/1/12,228.329
3/1/12,228.807
4/1/12,229.187
5/1/12,228.713
6/1/12,228.524
7/1/12,228.59
8/1/12,229.918
9/1/12,231.015
10/1/12,231.638
11/1/12,231.249
12/1/12,231.221
1/1/13,231.679
2/1/13,232.937
3/1/13,232.282
4/1/13,231.797
5/1/13,231.893
6/1/13,232.445
7/1/13,232.9
8/1/13,233.456
9/1/13,233.544
10/1/13,233.669
11/1/13,234.1
12/1/13,234.719
1/1/14,235.288
2/1/14,235.547
3/1/14,236.028
4/1/14,236.468
5/1/14,236.918
6/1/14,237.231
7/1/14,237.498
8/1/14,237.46
9/1/14,237.477
10/1/14,237.43
11/1/14,236.983
12/1/14,236.252
1/1/15,234.747
2/1/15,235.342
3/1/15,235.976
4/1/15,236.222
5/1/15,237.001
6/1/15,237.657
7/1/15,238.034
8/1/15,238.033
9/1/15,237.498
10/1/15,237.733
11/1/15,238.017
12/1/15,237.761
1/1/16,237.652
2/1/16,237.336
3/1/16,238.08
4/1/16,238.992
5/1/16,239.557
6/1/16,240.222
7/1/16,240.101
8/1/16,240.545
9/1/16,241.176
10/1/16,241.741
11/1/16,242.026
12/1/16,242.637
1/1/17,243.618
2/1/17,244.006
3/1/17,243.892
4/1/17,244.193
5/1/17,244.004
6/1/17,244.163
7/1/17,244.243
8/1/17,245.183
9/1/17,246.435
10/1/17,246.626
11/1/17,247.284
12/1/17,247.805
1/1/18,248.859
2/1/18,249.529
3/1/18,249.577
4/1/18,250.227
5/1/18,250.792
6/1/18,251.018
7/1/18,251.214
8/1/18,251.663
9/1/18,252.182
10/1/18,252.772
11/1/18,252.594
12/1/18,252.767
1/1/19,252.561
2/1/19,253.319
3/1/19,254.277
4/1/19,255.233
5/1/19,255.296
6/1/19,255.213
7/1/19,255.802
8/1/19,256.036
9/1/19,256.43
10/1/19,257.155
11/1/19,257.879
12/1/19,258.63
1/1/20,258.906
2/1/20,259.246
3/1/20,258.15
4/1/20,256.126
5/1/20,255.848
6/1/20,257.004
7/1/20,258.408
8/1/20,259.366
9/1/20,259.951
10/1/20,260.249
11/1/20,260.895
12/1/20,262.005
1/1/21,262.518
2/1/21,263.583
3/1/21,264.91
4/1/21,266.752
5/1/21,268.452
6/1/21,270.664
7/1/21,271.994
8/1/21,272.789
9/1/21,273.887
10/1/21,276.434
11/1/21,278.799
12/1/21,280.808
1/1/22,282.39
2/1/22,284.535
3/1/22,287.553
4/1/22,288.764
5/1/22,291.359
6/1/22,294.996
7/1/22,294.977
8/1/22,295.209
9/1/22,296.341
10/1/22,297.863
11/1/22,298.648
12/1/22,298.812
1/1/23,300.356
2/1/23,301.509
3/1/23,301.744
4/1/23,303.032
5/1/23,303.365
6/1/23,304.003
7/1/23,304.628
8/1/23,306.187
9/1/23,307.288
10/1/23,307.531
11/1/23,308.024
12/1/23,308.742
1/1/24,309.685
2/1/24,311.054
